,real_chord,predicted_chord,inp_len
5489,Bmin,Bmin,14
5490,G,G/B,14
5491,G,G,25
5492,G,G,36
5493,G,G,15
5494,A,G,59
5495,A7,A7,39
5496,Emin/B,Amin/,28
5497,A,A,36
5498,G,G,32
5499,Emin,C,6
5500,Bb,Dmin,18
5501,Dmin7,Cmaj7,13
5502,Bb,Bb,52
5503,C,C,64
5504,A,A,8
5505,G,G,43
5506,G,D,61
5507,Aminadd13/C,D/A,100
5508,Eminadd9,C,10
5509,D7,D7,19
5510,G,G,81
5511,A,A,21
5512,Cs,Gs,18
5513,D,D,107
5514,F,A,35
5515,Emin,Cadd9,11
5516,Ebmin,Ebmin,20
5517,Bbsus4,Fmin,103
5518,Amin,Amin,95
5519,Dno3d,Esus4,76
5520,F,G,10
5521,D,Cadd9,40
5522,Bb,Bb,38
5523,D,D,62
5524,C,C,16
5525,G,G,14
5526,Ds,Ds,98
5527,C,A/Cs,113
5528,Fmin7,Fmin7,5
5529,D,C,68
5530,Fs,G,32
5531,G,G,81
5532,Asus4,Asus4,98
5533,F,F,93
5534,C,F,49
5535,D,D,15
5536,G,As,32
5537,G,G,17
5538,D,C,33
5539,D,D,33
5540,B,G,6
5541,C,C,14
5542,G,D,8
5543,C,C,84
5544,C,C,45
5545,Fsmin,A,18
5546,Dmin,Dmin,53
5547,Amin,Amin,26
5548,Amin,Amin,54
5549,C,C,15
5550,F,F,5
5551,Emin,C,50
5552,D/Fs,A,8
5553,Bb,Bb7,15
5554,Bb,Bb,45
5555,Amin,Amin,48
5556,C,C,51
5557,Fsmin,Fsmin,15
5558,Fmin,Dmin7,118
5559,C,C,55
5560,F,F,31
5561,Dmin,Dmin,91
5562,C,C,15
5563,G,G,15
5564,Aadd9,Emaj7,33
5565,D,D,49
5566,Fsmin,Fsmin,56
5567,G,G,69
5568,Csmin,Csmin,76
5569,D,Bmin7,55
5570,F,F,5
5571,G,G,15
5572,D/Fs,D/D,43
5573,Fmin7,Bb,48
5574,G,A,6
5575,Dmin,Dmin,52
5576,Fs,Fs,17
5577,Ebno3d,Gno3d,32
5578,Bmin,C,35
5579,D7,Dmin,8
5580,Ds,Ds,6
5581,G,G7,83
5582,E7,E,57
5583,Emin,Amin,36
5584,F,Amin,67
5585,Dsmin,B,36
5586,Emin,Emin,19
5587,B,B,4
5588,E,E,59
5589,Gsmin,Gsmin,7
5590,C,C,65
5591,C,C,28
5592,B,Fs,7
5593,G,G,46
5594,C,C,14
5595,D,Cadd9,14
5596,C,C,13
5597,Fsmin,Fsmin,23
5598,Amin,F,50
5599,Emin,Emin,20
5600,A,A,18
5601,G,G,66
5602,G,D/Fs,10
5603,Gmin,Eb,9
5604,Bb,Fmin,5
5605,D,D,7
5606,C,Emin,32
5607,Cs,B,29
5608,Fsus4,Dsus4,60
5609,Cs,Cs,4
5610,A7,D,74
5611,Emin,Emin,16
5612,G,F/,29
5613,Dmin,Dmin,101
5614,C,C,99
5615,Gb/B,Ebmin7,100
5616,Dmin,Dmin,13
5617,Emin,Emin,23
5618,F/A,Bbmin,79
5619,Amin,C,5
5620,Csmin,Csmin,42
5621,F,G,37
5622,E,E,7
5623,Gsmin,E,27
5624,C,D,7
5625,Ab,Ab,32
5626,F,G7,21
5627,Fsmin,Bmin,34
5628,Bmin,Bmin,25
5629,C,C,96
5630,Dmin,Dmin,21
5631,C,C,8
5632,E,E,53
5633,C,C,8
5634,D,D,4
5635,F,F,29
5636,Gsmin,A,30
5637,Dsus2,G,34
5638,Fmin,Fmin,9
5639,C,C,13
5640,D,D,20
5641,Amin,G,25
5642,G,G,37
5643,Emin,E,31
5644,G,G,14
5645,F,F,42
5646,C,D,15
5647,G,G,48
5648,G,G,17
5649,A,C,54
5650,Bmin11,D9/C,5
5651,G,G,48
5652,Dmin,Dmin,5
5653,Bbsus2,Bbsus2,6
5654,Bmin,D,14
5655,F,C,13
5656,Amin,D,5
5657,G,G,46
5658,Emin,G,82
5659,C,C,15
5660,A,Esus4,23
5661,A,A,28
5662,Amin,G,64
5663,G,G,22
5664,Bb,Bb,9
5665,Cs7,Cs7,12
5666,Emin,D,113
5667,G,C,57
5668,A,B7,45
5669,C,C,54
5670,Eb/Bb,Eb/D,108
5671,C,C,37
5672,Csmin,Csmin,14
5673,F,F,35
5674,E,E,62
5675,Bb,Bb,74
5676,Bmin,Bmin,22
5677,G,G,36
5678,E,E,6
5679,G,G,10
5680,A,A,60
5681,F,C,66
5682,Ab,Ab,38
5683,G,G,13
5684,C,C,31
5685,Amin,Amin,31
5686,C,C,38
5687,G,G,63
5688,Bb,Bb,95
5689,Ab,Ab,19
5690,D,D,10
5691,Dmin,Dmin,34
5692,Csmin,Csmin,30
5693,Eno3d,Dno3d,6
5694,Amin,Amin,51
5695,Cs,Cs,4
5696,D,Cadd9,29
5697,Amin,Amin,31
5698,B,B,37
5699,Dmaj7,A7,11
5700,C,C,5
5701,F,F,11
5702,G,G,6
5703,Gmin,Gmin,54
5704,F,F,17
5705,Emin,Emin,64
5706,Gbmin7,Cmin7,72
5707,D,C,46
5708,C,C,6
5709,G,G,8
5710,C,Fmin,50
5711,D,C,30
5712,Bb,Bb,36
5713,F,Ab,65
5714,C,C,37
5715,G,Dmin,69
5716,E,B,38
5717,Asmin,Asmin,93
5718,G,E7,41
5719,G,G,15
5720,Fs,E,55
5721,D,D,80
5722,D,D,109
5723,Emin,Emin,43
5724,Bb,Bb,30
5725,Bmin,Bmin,41
5726,A/Cs,A/Cs,50
5727,C,F,9
5728,G,G,23
5729,C,Bb,12
5730,E,D,4
5731,D,Fsmin7,29
5732,C,C,34
5733,D,B,81
5734,A,A,14
5735,F/A,F/A,6
5736,A,G,12
5737,B,A,75
5738,D,D,73
5739,Amin7,G11,81
5740,G7sus4,G7sus4,10
5741,Dmin,G,21
5742,B,Dmin,4
5743,E,E,85
5744,D,C,22
5745,A,A,73
5746,Emin,Emin,104
5747,B,A,40
5748,E7,Gmin,25
5749,Fsmin,Fsmin7,55
5750,F,F,80
5751,Ab,Cmin,14
5752,A,A,63
5753,B,B,4
5754,E,E,8
5755,A,A,29
5756,Csmin,B,4
5757,C,C,18
5758,D,D,23
5759,B,A,67
5760,Emin,Emin,13
5761,C,C,5
5762,C,G,46
5763,D,D,34
5764,Fmaj7,Emin7,15
5765,C,C,11
5766,C,C,29
5767,A,Fsmin7,36
5768,Gmin,G,55
5769,B,B,95
5770,G,G,9
5771,D,D,39
5772,D,D,17
5773,Fsmin,Fsmin,6
5774,A,A,46
5775,Amin,Amin,76
5776,Cno3d,Dno3d,29
5777,Amin,Amin,5
5778,Dmin,Dmin,28
5779,G,G,34
5780,C,C,31
5781,G,G,82
5782,A,G,9
5783,Emin,D,92
5784,G,G,12
5785,F,F,47
5786,E,B,6
5787,Bmin,C,95
5788,Fsmin,D,14
5789,Dmin7/G,C,20
5790,G,Amin,20
5791,Amin,F,43
5792,Dsmin,Fs,49
5793,D,D,42
5794,D,G,29
5795,Bbmin,Bbmin,66
5796,Gmin,Gmin,49
5797,Dsus2,Cadd9,13
5798,F,F,65
5799,E,C,33
5800,G7,G,29
5801,C,D,9
5802,C,C,12
5803,Amin,Amin,5
5804,Fsmin,Fsmin,32
5805,A,A,31
5806,C,C,6
5807,F,Amin,22
5808,G,C,32
5809,Bb,Bb,49
5810,E,E,17
5811,Dmin,Dmin,27
5812,Asmin,Asmin,5
5813,G,F,127
5814,Dmin,Bb,50
5815,As/Gs,As/Gs,7
5816,E,E,11
5817,C,Bmin,42
5818,Dmin,Dmin,15
5819,E,Fs,17
5820,D,G,27
5821,D7,D7,13
5822,Dmin,Dmin,7
5823,B7,Amin,52
5824,C,C,28
5825,D,C,63
5826,E,E,29
5827,Eb,Eb,49
5828,D7,D,19
5829,Fs,Fs,31
5830,E,E,110
5831,A,A,72
5832,A,A,95
5833,G,G,101
5834,C,C,70
5835,B,A,7
5836,G,Bmin,85
5837,D,D,56
5838,D7,D7,5
5839,D7,G7,34
5840,Bmin,Bmin,35
5841,G,G,55
5842,G,G,48
5843,Bb,Bb,47
5844,G,G,20
5845,B,B,35
5846,C/D,D/,57
5847,G,G,59
5848,G,C,36
5849,D,G,11
5850,Amin,Amin,12
5851,Dmin,C7,13
5852,G,G,64
5853,Emin,Emin,4
5854,Fmaj7,Bbmin7,15
5855,Fs,Gs,73
5856,G7,G/B,17
5857,D,D,45
5858,Cadd9,G,119
5859,C,C,57
5860,Emin7,Emin7,63
5861,E,A,15
5862,F,F,4
5863,E,A,30
5864,G,C,42
5865,D7,D7,35
5866,D,D,25
5867,Csmin,Csmin,30
5868,G,G,44
5869,Dmin7,A,47
5870,Amin,Amin,57
5871,F,F,10
5872,C,A,63
5873,E,E,79
5874,A7,G,63
5875,Fsdim,As,36
5876,Ab,Fmin,48
5877,Dmin,F7,42
5878,Emin,Emin,34
5879,E,E,11
5880,D,D,34
5881,D,D,14
5882,G,Asus4,20
5883,E,A,7
5884,Bmin,Bmin,32
5885,F,F,41
5886,E,E,36
5887,G,G,63
5888,G,G,59
5889,C,C,51
5890,G,Bmin,31
5891,Bb,Bb,49
5892,E,E,31
5893,Emin,Emin,18
5894,Csmin,E,12
5895,Gb/Bb,Bbmin,15
5896,A,A,47
5897,Amin,Amin,29
5898,E,Ds,5
5899,B,B,4
5900,A,A,24
5901,D,D,79
5902,Gsmin,Gsmin,100
5903,G,C/G,7
5904,Csmin,Csmin,98
5905,Bmin,Bmin,5
5906,C,C,47
5907,F/G,F/C,67
5908,D,D,33
5909,Amin7,Amin7,68
5910,D,D,8
5911,C,C,45
5912,G,G,14
5913,F,C,13
5914,A,D,47
5915,Dmin,G,9
5916,Amin,Amin,10
5917,A,A,30
5918,D,D,14
5919,Amin,A,39
5920,B,B,32
5921,Gno3d,Gno3d,91
5922,Emin,Emin,5
5923,E,E,32
5924,Emin,Dmin,16
5925,G,G,26
5926,C,C,47
5927,F,F,50
5928,B,B,11
5929,Bb7,F7,62
5930,Amin,Amin,60
5931,Bmin,Bmin,53
5932,D,G,113
5933,Fs,G,6
5934,Fs,Gsmin,20
5935,Amin,Amin,9
5936,A,A,9
5937,D,E,10
5938,F,F,23
5939,Emin,Emin,50
5940,G,D,6
5941,C,C,10
5942,Asus4,Asus2,51
5943,Dmin,Dmin,32
5944,B/F,As,71
5945,G,C/B,38
5946,G,G,54
5947,E,E,9
5948,Fmin,Fmin,8
5949,G,G,23
5950,Fs,A,31
5951,G,B7,32
5952,D,C,63
5953,Cadd9,Cadd9,17
5954,G,G,59
5955,C,C,5
5956,C,C,48
5957,F,F,7
5958,G,G,13
5959,Bbmin,Cmin,83
5960,Dmin,F,14
5961,Amin,Amin,13
5962,B,Gsmin,36
5963,D/Fs,A,53
5964,C,Gmin,11
5965,G,G,38
5966,F,Amin,11
5967,A7,Amin7,27
5968,A,A,113
5969,B,B,58
5970,Amin7,D,7
5971,D,D,7
5972,G,G,50
5973,D,D,46
5974,B,B,59
5975,F,F,75
5976,D,D,25
5977,C,C,53
5978,D,D,58
5979,Cs,Cs,32
5980,Emin,Emin,19
5981,A,Fsmin,29
5982,D,D,39
5983,Csmin,Csmin,24
5984,D,Bmin7,67
5985,A/Fs,E,31
5986,Emin,Emin,17
5987,E,E,29
5988,Amin,Amin,24
5989,A,A,10
5990,Dmin7,Dmin9,78
5991,A,C,4
5992,F,F,5
5993,Emin7,D,53
5994,Dno3d,Emin,13
5995,Bbmin,Gmin,33
5996,C,C,91
5997,As,G,29
5998,Emin,C,19
5999,D,C,7
6000,Db,E7,33
6001,Gmin,F,10
6002,E,E,70
6003,B,B,44
6004,Ab,Bb,44
6005,B,A,25
6006,D,D,27
6007,G7,G7,29
6008,Edim,A7,30
6009,D,D,91
6010,Emin,Emin,41
6011,Emin/Fs,G,92
6012,Dmin,Dmin,6
6013,Gmin,Emin,17
6014,Bb,Bb,34
6015,Amin,C,12
6016,A,A,78
6017,E,E,22
6018,Dmin,G,34
6019,G,G,54
6020,Cs,Emin,66
6021,F,G,13
6022,E7,G,80
6023,G,D,6
6024,C,C,10
6025,G,G,45
6026,A,A,61
6027,G,G,17
6028,Emin7,G,42
6029,A,Amin,11
6030,D,D,49
6031,D,Bmin,56
6032,Fmaj7,Bb,32
6033,Cs/F,E,94
6034,D,D,14
6035,Eb7,Bb7,17
6036,G,G,16
6037,C,C,21
6038,Amin,G,12
6039,A,A,7
6040,Emin,Emin,40
6041,Dsno3d,Csno3d,44
6042,Gmin,Gmin,8
6043,B7,Emin,27
6044,Bb,Bb,56
6045,C,C,69
6046,Amin,Amin,32
6047,F,F/B,33
6048,C,Bb,126
6049,Dmin,C,23
6050,G,Bmin,11
6051,Fsmin,A,76
6052,D,D,10
6053,A7,A7,21
6054,Emin,G,31
6055,D,C,11
6056,D,D,18
6057,Bmin,Fsmin,71
6058,B7,B7,71
6059,D,D,25
6060,C,F,53
6061,C,G,44
6062,Eb/G,Eb/A,16
6063,C,D,14
6064,D,D,81
6065,A,A,40
6066,D,D,120
6067,Db,Fmin,4
6068,A,A,39
6069,C,C,6
6070,As,G,46
6071,Bbsus2,Fsus2,31
6072,Amin,Amin,71
6073,C,C,14
6074,C,C,73
6075,A,A,14
6076,Asus4,Asus4,54
6077,F,F,51
6078,G/B,D,87
6079,G,As,8
6080,Asus2,Bsus4,60
6081,G,D,4
6082,E7,E7,49
6083,A,G,8
6084,C,Bb,32
6085,A,A,30
6086,D,D,26
6087,Gmin,Gmin,25
6088,C,C,20
6089,D,B,34
6090,G,G,25
6091,G,G,10
6092,Amin,E,20
6093,G,G,5
6094,G,G,57
6095,Dmin,C,14
6096,G,G,24
6097,Amin,Fmaj7,26
6098,C,C,17
6099,F,A,10
6100,F,F,50
6101,A,Bmin,41
6102,A,A,10
6103,Bmin,Bmin,24
6104,F,F,16
6105,Fs,Dsmin,42
6106,Dno3d,Csno3d,5
6107,C,C,6
6108,G,G,6
6109,Csus2/D,Amin,12
6110,Dmin,Dmin,23
6111,Bmin,Bmin,46
6112,Bmin,Bmin,12
6113,Gmin,Gmin,11
6114,B,B,107
6115,Bbsus2,F,51
6116,G,G,43
6117,G,Eb,74
6118,E,E,13
6119,D,D,23
6120,E,E,58
6121,G,G,38
6122,C,C,29
6123,D,D,96
6124,Bmin,D,65
6125,C,C,73
6126,Bmin,Bmin,25
6127,D,D,116
6128,Amin,Dmin,17
6129,D,D,17
6130,G,G,48
6131,F,F,30
6132,Fminmaj7,Emaj7,5
6133,Amin,D,51
6134,C,C,9
6135,C,C,15
6136,C,C,88
6137,Emin,G,16
6138,D,D,28
6139,Gno3d,Gno3d,32
6140,C,G7,19
6141,Cs,Emin,36
6142,E,E,79
6143,Emin,F,57
6144,A,A,15
6145,D,E7,33
6146,Amin,Amin,10
6147,D,D,10
6148,D,D,12
6149,E,B,114
6150,Cs,A,22
6151,Amin,C,4
6152,Asmin,Gs,70
6153,C,C,19
6154,F,F,45
6155,Eb,Ab9,77
6156,Amin7,Amin,24
6157,E,A,26
6158,Amin,Amin,19
6159,Gsmin,B,5
6160,A,G,27
6161,Cs,Ds,76
6162,Dmin,Dmin,9
6163,A,Fs,17
6164,Dmin,F,55
6165,D,G,28
6166,G,E,83
6167,G/B,Bmin7,41
6168,A,A,32
6169,Cs,Gsmin,19
6170,B,B,32
6171,C,Emin,30
6172,Fs,Fs,51
6173,G,Bmin7,44
6174,C,G,19
6175,D,C,81
6176,Csmin,Csmin,51
6177,G,G,5
6178,Bbmin7,Bbmin7,6
6179,B7,D/Fs,13
6180,A,A,13
6181,C,C,32
6182,G,G,40
6183,F,Amin/Gs,8
6184,Amin,Amin,14
6185,Amin,Amin,13
6186,Amin,Amin,63
6187,Amin,F,60
6188,Amin,Amin,23
6189,E,E,27
6190,G,G,31
6191,B,G,42
6192,D,D,40
6193,C,Amin,85
6194,D7,D7,26
6195,G,G,79
6196,Gs7,Csmin7,42
6197,D,D,60
6198,Gs,Gmin,89
6199,Bmin,Bmin,60
6200,A,A,47
6201,D,D,8
6202,Cno3d,Gno3d,8
6203,G,G,31
6204,D,D,92
6205,G,G,19
6206,Amin,D7,19
6207,Bb,Gmin,9
6208,F,F,17
6209,Gmin,Gmin,76
6210,F,F,20
6211,Gbmaj7,Ebmin9,84
6212,Emin,Emin,33
6213,Gmin,Bb,65
6214,F,F,83
6215,Amin,C,105
6216,C/B,Fmaj7,22
6217,Amin,Amin,20
6218,A7,G,14
6219,Bmin,Bmin,56
6220,A,A,20
6221,Gsmin,Gsmin,8
6222,Aminadd13,Fsmin7,53
6223,Bsus4,E,98
6224,C,G,18
6225,Ebmaj7,Ebmaj7,8
6226,D,D,20
6227,Aadd9,Aadd9,10
6228,A,A,18
6229,C,C,15
6230,D,D,89
6231,F,F,45
6232,F,F,37
6233,C,C,14
6234,C,C,34
6235,Bmin,Bmin,35
6236,E,G,26
6237,Amin7,Amin7,38
6238,D,D,73
6239,Amin,Amin,6
6240,Db,Db,36
6241,Dsus4,Amin7,95
6242,Db,Db,114
6243,G,A/,21
6244,Bmin,Bmin,4
6245,Emin,Emin,24
6246,G,D,34
6247,G7,G7,8
6248,D,D,9
6249,Fminadd13,Fmin,31
6250,Fs,D,23
6251,D,D,76
6252,E,E,8
6253,Ebmin,Ebmin,46
6254,Csdim,Amin,28
6255,Gmaj7,Gmaj7,4
6256,Bmin,Bmin,68
6257,Fs,Cs,35
6258,A,A,25
6259,D,D,21
6260,F,F,18
6261,Amin,Amin,23
6262,Bb,Fmin,58
6263,G7,G7,68
6264,A,A,92
6265,A,A,106
6266,D,D,28
6267,Amin,D/,6
6268,Csmin7,Fs,29
6269,C,C,45
6270,Ab,Ab,18
6271,Emin,Emin,58
6272,Emin,Emin,38
6273,C,G,26
6274,C,C,49
6275,Ebmajs9,Fs/As,103
6276,C,C,10
6277,Dsus2,Dsus2,11
6278,D,D,71
6279,G,G,60
6280,F,C,13
6281,Emin,D,29
6282,Amin,Amin,14
6283,Fs7,Fs7,5
6284,E,E,9
6285,C,C,5
6286,Amin,Amin,22
6287,Bmin,Bmin,99
6288,Amin,Amin,8
6289,Gmin,Bb,44
6290,Emin,G,49
6291,Cadd9/E,Cadd9/E,16
6292,Bb,Bb,29
6293,F,D,60
6294,Emin,Emin,19
6295,Bmin,G,96
6296,Cs,Cs,43
6297,B,E,10
6298,A,Ds,52
6299,D,D,24
6300,D,D,27
6301,F,Ds,5
6302,G,G,12
6303,D,D,33
6304,D,E,49
6305,G,G,31
6306,G,F,32
6307,Emin,Emin,5
6308,Gmin,Amin,100
6309,A,D,100
6310,G/E,Fsmin7,76
6311,Amin,Amin,45
6312,C,E/Gs,52
6313,C,C,75
6314,Fmin,Bmin,51
6315,Bmin,Bmin,12
6316,A,Dsus4,83
6317,Fmin7,Dmin7,43
6318,G,G,35
6319,G7,G7,11
6320,Eb,Cmin,102
6321,Dmin,Dmin,109
6322,Bmin,Bmin,61
6323,D/Fs,C,19
6324,C,C,6
6325,G,F,96
6326,D,D,33
6327,G,G,90
6328,D,D,72
6329,Csus4,F,8
6330,Emin,Emin,6
6331,G,Amin,65
6332,A,A,50
6333,F,F/E,42
6334,Emin7,Emin7sus4,88
6335,Emin,Emin,82
6336,A,G,114
6337,G,G,49
6338,Fsmin,A,78
6339,D,D,56
6340,F,F,90
6341,Abmaj7,Dmin7,17
6342,Cno3d,Gno3d,13
6343,Cmin,Cmin,17
6344,A7,A7,11
6345,C,G,14
6346,G,G,11
6347,Dmin,Amin,54
6348,D,D,53
6349,Amin7,Amin,58
6350,C,C,19
6351,Amin,G,61
6352,D,D,17
6353,F,G/B,5
6354,G,G,58
6355,A,A,23
6356,D,D,37
6357,A,A,96
6358,A,A,101
6359,G,Bmin,76
6360,As7,Dmin7,24
6361,D,A7,118
6362,A,A,6
6363,Bmin,Bmin,25
6364,C,C,27
6365,Emin7,Emin7,40
6366,Gmin,Gmin,11
6367,Dmin,Dmin,24
6368,C,C,44
6369,Gsus2,D,24
6370,Amin,Amin,42
6371,Emin,Amin,11
6372,D,C,5
6373,G,Cadd9,16
6374,C,C,23
6375,G,G,54
6376,Emin,G,48
6377,A,A,8
6378,G7,G7,23
6379,B,B,65
6380,D7,Emin,6
6381,D,D,95
6382,Ebmin,B,51
6383,Amin,Amin,17
6384,F,F,48
6385,A,A,58
6386,G,Dmin,41
6387,Emin,Emin,33
6388,C,C,21
6389,C,Amin7,42
6390,Cadd9,F,58
6391,Bmin,Csmin,39
6392,C,D,9
6393,G,A,11
6394,Bb,G,48
6395,G,Asus2,50
6396,Bbmin,Gb,57
6397,C,C,38
6398,E,G,65
6399,G,G,28
6400,F,F,8
6401,A,A,31
6402,Dmin,Dmin,13
6403,Bmin,Bmin,77
6404,E,E,9
6405,Bb,Bb,5
6406,G,G,45
6407,E,E,14
6408,D,D,12
6409,Amin,G,40
6410,Bbmaj7,Emin9,13
6411,D,D,79
6412,B,B,23
6413,Cadd9,Cadd9,31
6414,B,A,11
6415,C,C,60
6416,Fmaj7,Fmaj7,55
6417,E,E,6
6418,D,D,49
6419,D,D,27
6420,C,C,40
6421,E,E,40
6422,Eb/G,Fmin7,101
6423,C,C,51
6424,C,D7,51
6425,F,Amin,88
6426,Emin,C,7
6427,G,G,61
6428,Emin9,Emin9,25
6429,Cs,Cs,32
6430,Fmin,Eb,55
6431,A,A,103
6432,B,A,5
6433,G,Emin,64
6434,Gmin,Gmin,24
6435,E,E,14
6436,Bb,Bb,47
6437,Emin,Emin,9
6438,A,A,6
6439,Amin,Amin,26
6440,Csmin,Csmin,27
6441,Bbmin7,Db,17
6442,Emin,Emin,27
6443,F,F,61
6444,Emin,Emin,22
6445,Bmin9,Amin9,40
6446,C,C,21
6447,Bmin,Bmin,20
6448,G,G,27
6449,Dmin,Dmin,4
6450,D,D,68
6451,Dno3d,Ano3d,20
6452,F,F,23
6453,Amin,Amin,93
6454,D,D,47
6455,Csmin7,B7,22
6456,Fsmin,Fsmin,47
6457,Emin,C,84
6458,Dsmin,C,6
6459,Bbmin,Bbmin,36
6460,F7,F,7
6461,D,A7,9
6462,Bmin,Dmin,9
6463,Amin,Amin,62
6464,Csmin,Fsmin,12
6465,D,D,41
6466,B,B,75
6467,A,D,6
6468,A,D,71
6469,A,A,93
6470,Amin,Amin,61
6471,E,Dmin,8
6472,F,Bb,67
6473,Dmin,Dmin,62
6474,Amin,F,12
6475,C,Amin,6
6476,C,C,6
6477,B7,B7,21
6478,Amin,F,83
6479,C,Dmin7,44
6480,Emin,Bmin,32
6481,Dmin,Dmin,21
6482,D,D,43
6483,A,D,20
6484,G,G,17
6485,C,C,62
6486,Asmin,Asmin,41
6487,A,A,54
6488,A,Amin,68
6489,G,G,29
6490,Bmin,G,60
6491,C,Fs,52
6492,Bmin,Bmin,20
6493,C,C,4
6494,Ds,Csmin,16
6495,Gmin7,A7,79
6496,C,C,34
6497,Dssus4,Eadd13,17
6498,E,B,20
6499,G,D,83
6500,Amin7,D,60
6501,G,G,42
6502,D,Gno3d,54
6503,A,A,96
6504,C,C,58
6505,E,A,34
6506,Bmin,D,4
6507,C,Emin,22
6508,Dmin,F,9
6509,F,C,59
6510,G,Cadd9,73
6511,C,E,16
6512,Fmin7,Bb7,47
6513,Amin,Amin,42
6514,Amin,Amin,4
6515,Cmin7,Cmin7,75
6516,Csmin,Csmin,43
6517,G,F,32
6518,A,G,40
6519,Ebmin,Ebmin,52
6520,Amin,Amin,4
6521,Bmin,D,49
6522,D,D,23
6523,Ab,Db,37
6524,Cs,Cs,34
6525,G,C7,43
6526,G,D,71
6527,Emin,Emin,32
6528,Amin,Amin,57
6529,G,G,53
6530,G,Cmin,57
6531,C,C,4
6532,D,G,11
6533,Ds,D,43
6534,Bb7,Bb7,11
6535,Fmaj7,Dmin,4
6536,C,C,11
6537,Gmin,Gmin,15
6538,C,C,80
6539,Fsmin,Fsmin,15
6540,Fs,Fs,8
6541,A,Bmin,43
6542,F,C,13
6543,F,F,34
6544,Amin,C,19
6545,A,A,13
6546,C,C,45
6547,Dmaj7,Emin7,7
6548,G,G,72
6549,G,G,46
6550,C,C,66
6551,Dsmin,Dsmin,28
6552,C,Amin,14
6553,D,D9,13
6554,Emin/D,G,29
6555,G7,G7,25
6556,Bb,Bb,18
6557,A,A,5
6558,C,C,62
6559,C,C,12
6560,Emin,Emin,105
6561,Amin,Amin,53
6562,F,F,24
6563,F,F,4
6564,D,E,33
6565,D,D,11
6566,F,G,5
6567,E,E,77
6568,D,D,22
6569,F,G,106
6570,Cs,Cs,70
6571,Bmin,Bmin,45
6572,G,Emin,26
6573,E,E,27
6574,C7,F,97
6575,G,G,34
6576,Dmin,Gmin7,27
6577,G,Bmin,47
6578,Eno3d,Bno3d,6
6579,As,Gmin,68
6580,C/E,C/G,49
6581,C,Emin7,21
6582,Fs,D,43
6583,G,G,48
6584,Bmin7,D7,21
6585,C,C,45
6586,B7,E,56
6587,Amin,F,39
6588,G,G,13
6589,D,D,11
6590,Fs,Fs,66
6591,G,D7,24
6592,C,F,25
6593,Dno3d,Dno3d,101
6594,D,C,15
6595,Amin,C,26
6596,Emin,Emin,12
6597,A,A,42
6598,A,A,49
6599,E,E,26
6600,B,E,37
6601,E,E,10
6602,F,C,11
6603,Amin,Amin,33
6604,A,Bmin,64
6605,Gmin,C7,7
6606,C,C,21
6607,Amin/G,Amin/,40
6608,Eno3d,Amin,41
6609,D,D,33
6610,Emin,C,6
6611,C,Emin,23
6612,F,F,104
6613,E,E,44
6614,D,D,21
6615,Amin9,Dmin,27
6616,B,A,10
6617,G,G,22
6618,B,Gsmin,38
6619,Ab,C,20
6620,Fs7,Fs,37
6621,F,F,26
6622,B,B,24
6623,G,C,77
6624,Fs,Fs,22
6625,G,G,31
6626,E,E,10
6627,D,D,10
6628,D,D,46
6629,G,G,55
6630,Amin,Emin,50
6631,Gadd13,A,52
6632,F,F,30
6633,G,G,24
6634,Fs,Fs,42
6635,G,Dmin,57
6636,D,Gs,64
6637,Gsmin,E,29
6638,G,G,34
6639,Bb,Ab,27
6640,Bb,Bb,54
6641,G,G,70
6642,C,G,27
6643,F,F,29
6644,Amin,Amin,91
6645,B,B,64
6646,B,D,4
6647,G,G,91
6648,C,A,50
6649,G,G,15
6650,C,G,4
6651,C,C,11
6652,C7,A7,6
6653,D,D7,28
6654,Csmin,Csmin,69
6655,F,Amin,7
6656,C,C,70
6657,Gsmin,E,33
6658,G,G,13
6659,F,F,9
6660,D,A,27
6661,F,F,8
6662,D,D,55
6663,G,G,32
6664,F,G7,15
6665,C,C,83
6666,C,C,89
6667,Emin,Emin,78
6668,Gmin,Gmin,43
6669,C,C,33
6670,Gs,Gs,45
6671,G,G,18
6672,Bb,Dmin7,12
6673,G,G,36
6674,Amin,F,15
6675,Cadd9,Cadd9,16
6676,C,C,57
6677,A7,C,54
6678,F,F,65
6679,C,C,5
6680,A,A,8
6681,G,G,45
6682,C,G,80
6683,Bb,Bb,61
6684,Amin,Amin,21
6685,G,G,43
6686,E,Fs,39
6687,D,Emin,41
6688,A/Cs,A,20
6689,D,D,46
6690,Amin,Amin,6
6691,C,C,30
6692,G,G,8
6693,G,G,25
6694,D/Fs,D/Fs,8
6695,A,Bb,23
6696,B,B,9
6697,G/B,G,36
6698,Emin,Emin,45
6699,D,D,10
6700,Fmin,F,5
6701,Fsmin,A,18
6702,F,F,5
6703,Emin,Emin,18
6704,C,F,18
6705,Fmin7,Bbmin7,7
6706,G,C,9
6707,C,C,33
6708,G,Emin,17
6709,Fs,A,82
6710,G,F,53
6711,G,F,36
6712,Fs,Fs,11
6713,F,Eb,53
6714,G,G,4
6715,E,E,87
6716,C,G,89
6717,A,A7,36
6718,C,C,16
6719,Db,Eb,22
6720,G/B,G/B,8
6721,Amin,Emin,17
6722,E,E,5
6723,F,F,28
6724,C,C,25
